library,columns,predicate,late_materialization,selectivity,num_ios,total_bytes
DataFusion,id,id >= 30000,False,0.7,32,609425
DataFusion,img,id >= 30000,False,0.7,44,4097216553
DataFusion,id,id >= 32500,False,0.675,32,609425
DataFusion,img,id >= 32500,False,0.675,44,4097216553
DataFusion,id,id >= 35000,False,0.65,32,609425
DataFusion,img,id >= 35000,False,0.65,44,4097216553
DataFusion,id,id >= 37500,False,0.625,32,609425
DataFusion,img,id >= 37500,False,0.625,44,4097216553
DataFusion,id,id >= 40000,False,0.6,32,609425
DataFusion,img,id >= 40000,False,0.6,44,4097216553
DataFusion,id,id >= 42500,False,0.575,32,609425
DataFusion,img,id >= 42500,False,0.575,44,4097216553
DataFusion,id,id >= 45000,False,0.55,32,609425
DataFusion,img,id >= 45000,False,0.55,44,4097216553
DataFusion,id,id >= 47500,False,0.525,32,609425
DataFusion,img,id >= 47500,False,0.525,44,4097216553
DataFusion,id,id >= 50000,False,0.5,32,609425
DataFusion,img,id >= 50000,False,0.5,44,4097216553
DataFusion,id,id >= 52500,False,0.475,32,609425
DataFusion,img,id >= 52500,False,0.475,44,4097216553
DataFusion,id,id >= 55000,False,0.45,32,609425
DataFusion,img,id >= 55000,False,0.45,44,4097216553
DataFusion,id,id >= 57500,False,0.425,32,609425
DataFusion,img,id >= 57500,False,0.425,44,4097216553
DataFusion,id,id >= 60000,False,0.4,32,609425
DataFusion,img,id >= 60000,False,0.4,44,4097216553
DataFusion,id,id >= 62500,False,0.375,32,609425
DataFusion,img,id >= 62500,False,0.375,44,4097216553
DataFusion,id,id >= 65000,False,0.35,32,609425
DataFusion,img,id >= 65000,False,0.35,44,4097216553
DataFusion,id,id >= 67500,False,0.325,32,609425
DataFusion,img,id >= 67500,False,0.325,44,4097216553
DataFusion,id,id >= 70000,False,0.3,32,609425
DataFusion,img,id >= 70000,False,0.3,44,4097216553
DataFusion,id,id >= 72500,False,0.275,32,609425
DataFusion,img,id >= 72500,False,0.275,44,4097216553
DataFusion,id,id >= 75000,False,0.25,32,609425
DataFusion,img,id >= 75000,False,0.25,44,4097216553
DataFusion,id,id >= 77500,False,0.225,32,609425
DataFusion,img,id >= 77500,False,0.225,44,4097216553
DataFusion,id,id >= 80000,False,0.2,32,609425
DataFusion,img,id >= 80000,False,0.2,44,4097216553
DataFusion,id,id >= 82500,False,0.175,32,609425
DataFusion,img,id >= 82500,False,0.175,44,4097216553
DataFusion,id,id >= 85000,False,0.15,32,609425
DataFusion,img,id >= 85000,False,0.15,44,4097216553
DataFusion,id,id >= 87500,False,0.125,32,609425
DataFusion,img,id >= 87500,False,0.125,44,4097216553
DataFusion,id,id >= 90000,False,0.1,32,609425
DataFusion,img,id >= 90000,False,0.1,44,4097216553
DataFusion,id,id >= 92500,False,0.075,32,609425
DataFusion,img,id >= 92500,False,0.075,44,4097216553
DataFusion,id,id >= 95000,False,0.05,32,609425
DataFusion,img,id >= 95000,False,0.05,44,4097216553
DataFusion,id,id >= 97500,False,0.025,32,609425
DataFusion,img,id >= 97500,False,0.025,44,4097216553
